time,t2m,d2m,strd,tp,sp,ssrd,Ws
21-Dec-2019 00:00:00,264.677756090485,261.957884671357,18722088.2095013,0.00151922981534866,63143.2359818956,12768005.5435887,1.08682091391818
21-Dec-2019 01:00:00,264.668745502304,261.635935342639,817722.238654573,0.000115530784437157,63185.0328565975,129453.848595362,1.06037911885754
21-Dec-2019 02:00:00,265.683938437327,262.36818288563,1645387.93263699,0.000190625794321303,63237.9755645534,694092.975447483,0.945548433767032
21-Dec-2019 03:00:00,267.769889601153,264.524494668673,2470452.94886927,0.000248391186539881,63293.7047308226,1903797.8755131,0.615893496466392
21-Dec-2019 04:00:00,268.941266064641,265.714958465561,3327376.26754078,0.000300380039536613,63273.2707031906,3401606.4471335,0.127195932145052
21-Dec-2019 05:00:00,269.55698959032,266.304949328421,4129685.35345932,0.000340815814089623,63208.2533425431,5098278.16489402,0.0718810915550857
21-Dec-2019 06:00:00,269.894886647095,266.692785961621,4980757.14719302,0.00038702812786448,63168.3141067167,6617570.56670685,0.165435864768832
21-Dec-2019 07:00:00,270.108137234038,267.162981725423,5826627.58542643,0.000439016980861212,63132.0901486417,8369879.89599133,0.528640486362727
21-Dec-2019 08:00:00,269.91591135285,267.371125710036,6731663.44247555,0.000491005833857916,63143.2359818956,9623103.32388262,0.561396516802835
21-Dec-2019 09:00:00,269.387290179584,266.670324380547,7642550.82446248,0.000577653922185811,63159.0259123385,10115578.8159858,0.426834177180202
21-Dec-2019 10:00:00,268.920241358886,266.412764917573,8543035.49544886,0.000664302010513679,63217.5415369213,10297365.0714602,0.114113305766552
21-Dec-2019 11:00:00,268.612379596046,266.218097881604,9385655.08649459,0.000779832794950835,63268.6266060015,10302873.7458685,0.200630735286872
21-Dec-2019 12:00:00,268.095772540354,265.818281738498,10284839.4186059,0.000935799353941003,63344.7897999028,10302873.7458685,0.450604666633794
21-Dec-2019 13:00:00,267.60319371981,265.297173057596,11167769.5147788,0.00109754245215302,63355.0068137189,10302873.7458685,0.697994968303389
21-Dec-2019 14:00:00,267.568653131784,265.112988092795,12088409.4383288,0.00123040285425577,63394.9460495452,10302873.7458685,0.771653073074403
21-Dec-2019 15:00:00,266.985968429434,264.481068945264,12945982.9264378,0.00132860402102736,63381.0137579778,10302873.7458685,0.902855452944854
21-Dec-2019 16:00:00,266.841799018543,264.000391110294,13757394.3844819,0.00140947557013335,63381.0137579778,10302873.7458685,0.96491114286638
21-Dec-2019 17:00:00,266.646569607962,263.521210714062,14587010.5867769,0.0014730175015738,63351.2915359676,10302873.7458685,1.07259866747668
21-Dec-2019 18:00:00,266.406287256477,263.03454312414,15392570.5198831,0.00153655943301423,63328.071050022,10302873.7458685,1.11757823598468
21-Dec-2019 19:00:00,267.145155487293,264.90634154692,16313860.6128706,0.00181383331566343,63309.4946612656,10302873.7458685,1.03796827022958
21-Dec-2019 20:00:00,266.825279606879,264.632310257825,17181186.6425427,0.00211998989442191,63256.5519533098,10302873.7458685,1.05416114677518
21-Dec-2019 21:00:00,267.034024899731,264.817992661364,18051763.5194024,0.00248391186539895,63239.833203429,10302873.7458685,1.05718875672107
21-Dec-2019 22:00:00,266.581993726001,264.536474178578,18900884.8048235,0.00288249307170715,63185.9616760354,10302873.7458685,1.1156942952744
21-Dec-2019 23:00:00,266.421304903445,264.3492943363,19791616.9342469,0.00329262735645908,63172.9582039059,10302873.7458685,1.16725742563859
22-Dec-2019 00:00:00,266.394273138903,264.308863490368,20645289.4057307,0.00366810240587986,63196.1786898514,10302873.7458685,1.20966289045728
22-Dec-2019 01:00:00,265.879167847908,263.777272738299,818372.408092108,0.00034659235331147,63215.6838980456,120089.102101229,1.25852962327293
22-Dec-2019 02:00:00,267.834465483114,265.1758805198,1653840.13532495,0.000623866235960668,63237.0467451155,694643.842888314,1.13936551577184
22-Dec-2019 03:00:00,269.636583119249,266.767657898532,2479555.32099476,0.000860704344056856,63262.1248699367,1950621.60798376,0.985358734093211
22-Dec-2019 04:00:00,271.29603310919,268.254614565588,3318924.06485282,0.00105710667760001,63224.9720924238,3723313.032579,0.729354291539586
22-Dec-2019 05:00:00,271.710520165501,268.787702756396,4188850.77227504,0.00119574361892461,63143.2359818956,5472868.02465933,0.623048576036583
22-Dec-2019 06:00:00,272.248151926948,269.168052195905,5038622.22713366,0.00128239170725247,63065.2151491186,7235092.96787878,0.471374305197303
22-Dec-2019 07:00:00,272.784281923698,269.407642394021,5828578.09373903,0.00142680518779895,63001.1266079089,9346567.86858529,0.358484832081192
22-Dec-2019 08:00:00,272.797797805969,269.537919564246,6684201.07353547,0.0015423359722361,62982.5502191525,10820138.2728091,0.279897381537259
22-Dec-2019 09:00:00,272.254158985735,269.48401176967,7482609.1428288,0.0016116544428984,62998.3401495954,11828776.5569713,0.282458423528186
